commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix
3ac4ec670c881668aaedb2c3937bae5e10984988,6,130,57,59,0
d22428bc8e8c3cf5e6006497cb8164decde31924,1,4,1,51,0
606b006e2391d12fec5313ce606d82463d7aad07,4,5,3,51,1
f419937d2c5f2db16a8157a0a061b92c38876649,1,11,9,22,0
41de12984495198423cbce73ac059ccee0fbfd30,0,0,0,41,0
4559e4f0f14272fb4fb31f3bf79bf592a9f781df,3,164,0,37,0
13933eeaf8b6c7685aaf1c769efe97763d64ea0d,0,0,0,41,0
2ba88eefb54f76fc974181babac07ffc7c1f7e73,1,1,1,17,1
36717b02731ad7d86ba8effbe27e70405e48cd9b,4,62,5,58,0
31493850de3d7765d09419aa49b98089f79da3c2,1,1,1,51,1
f1603d33f266ab24eda604f76632fa604b91e3f9,2,10,1,44,1
a9284afde97c30d136e8ec675794c7cdcf4ca277,1,4,5,39,1
8d49440d8b881b2df2c10085a58d3a4e4085147e,1,19,0,76,1
a7266ffb90d109f94da96e9eea5f5bb4ff8ddc71,1,49,0,43,0
eeb0e949518720ff5302bcf336fc72dea44737d0,0,0,0,21,1
7e1db5978c3c7aedcb43d7e2036edc85b0a22a6b,1,6,5,44,0
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,3,7,1,34,0
36f659b82b9079ec8492c1b52a0c0b058ebdf2eb,0,0,0,63,0
d0eefb01d16bd058172363a9847b5d98ccd1abc9,1,3,0,52,0
9248a7baca5bc616a60f9b63b525e872fbfddef2,1,1,4,49,1
ce53d10236279e4798365d991ab4ff838cb16d36,0,0,0,41,0
dffb3d091c0e42b7254fe88218811c24c0054f7e,2,3,4,40,0
f345af8d9d33e6164747c865c29a72186a470c22,1,3,3,34,0
9da5795d79196e13d802915509180118809042a7,0,0,0,41,0
67fc46526234653b0a519e9f1e8a05a2c40c80f8,2,12,9,59,1
720bede150d835be0ffedf4d480482552c90908d,0,0,0,41,0
bc0c0559e384dc88441775a3907487f4a2b515b4,9,390,0,20,0
a921aef6c47cecbacef5173f03c07c52e6bc8fea,2,10,1,50,1
a76aabc7f07c06bd155aace787ed811961aacaa7,0,0,0,41,0
f6da77e894a939b838e02fb744fa3031abfc96ec,1,2,2,36,1
7f837901cb9b3ba7d68ea0a983d86dfc508a9c6d,0,0,0,41,0
745638e774063de206aae930df71789de13e7c73,2,41,2,77,1
b93ec1465be95a8303cbed99589273f562928103,1,2,0,36,0
da8f88a22eab8195e48fa4ef63c6a3195c860eb0,9,0,390,62,0
de909b3bdfcebe6bb56e0910ab9f36ad741b68f2,0,0,0,41,0
34e3d64892f2281aa1b6f6357c345b0a357ee51a,3,2,352,68,0
4156bd412f2c27359844fbacdae1eb4983c94b8b,2,4,0,21,0
2d87e9bc37ef1ce8f9068fac92783a4fe3d3d382,4,161,2,27,0
5bb2b55a2880b3c91dbcd6580f3d25ee23c6655c,1,2,0,45,0
f80e1d3b5ab8e718cc67c814cbfd9aee9c95f45f,1,7,0,33,0
9fa4f94ad885ea98bad8708da6e3e9d15130bb4d,0,0,0,98,0
b0ab127015186e1a2918221ffad8d79ca346faf5,6,106,132,26,0
e0fa5aec3a13d9c3e8e27b53526fcee56ac0298d,1,1,1,23,0
07581b2404924fe1833f596cfa09caf69868ad5b,2,6,1,15,0
f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,1,0,0,28,0
e409bc792d4419ed588afbc60c53b61923c415a7,1,1,1,10,1
93a8ca02822d07cd9f13495f53d27ab22e9adf3a,5,17,17,39,1
a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f,1,1,1,9,1
693e4449f87950c764a928690f4437fd6b1b4d7d,1,2,2,9,1
35ed617fe41b184288892f733ce07d94391b76b1,3,60,4,55,1
931dcc4c80331d372d70d7a0a5c8e6d49223e2bf,5,202,1,42,1
b18560fcaa1739c81ff273951ebc6fa3c96fda2b,1,1,1,8,0
c6e6792cd52022add8455fc792b2ca73c62d3d65,1,4,0,34,1
8c26bec55c13804a01c11931263c9e9e4dab4afb,1,5,0,44,0
e7f67e13339073007a84271cce91200bfdb81006,3,132,10,22,0
ea5e654e9e19aab5089f9a71e679bcca11581e86,9,307,11,43,0
267f5f5c82a1ec9966bfb4e1e0c3f7cc4c80ed12,3,80,0,39,1
54c3df60cd533ea80d347f6715ee84f6a560b5d5,1,2,2,24,1
7bb0e33a687b3498c401a8dbcf7864d543a1817a,1,7,5,31,0
b26aeba972686b9cb9a9b111e1bc8997e1f259c8,1,2,1,16,1
