commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix,lines_changed,change_density,is_large_commit,is_small_commit
61d07b8be9beae54d1c367adfc845dcf30a1512a,1.0,4.0,1.0,43.0,0,5.0,5.0,0,0
f54c4fd04f326d94684c7fcbf12df5cecae653c4,1.0,1.0,1.0,34.0,1,2.0,2.0,0,0
6418551efb1d24320c261b1e24c186d5394e6dcf,2.0,5.0,4.0,15.0,1,9.0,4.5,0,0
7c9303b7502403c372171e1e045433b57259a56b,1.0,2.0,2.0,15.0,1,4.0,4.0,0,0
6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,2.0,16.0,2.0,61.0,0,18.0,9.0,0,0
5348eff4457a528cd605bbbd5e0152c282819962,1.0,2.0,0.0,13.0,1,2.0,2.0,0,0
855e7e9327c0095f39b34bd56b08aa63c87f9dfd,1.0,31.0,0.0,18.0,0,31.0,31.0,0,0
f769e15fecf6e06c190133d85a3de6b703e4d1a1,2.0,56.0,0.0,21.0,0,56.0,28.0,0,0
aae5de730113e843864c120cc0453efc0a90b49f,2.0,0.0,0.0,11.0,0,0.0,0.0,0,1
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,1.0,50.0,0.0,18.0,0,50.0,50.0,0,0
8605cc310d260c3b08160881b09da26c2cc95f8d,1.0,1.0,0.0,18.0,0,1.0,1.0,0,0
9fbf9a062c11904b5022a5aa7941449e31340c32,1.0,1.0,1.0,15.0,0,2.0,2.0,0,0
791cdb28f593d4d7649d88407fcd193834512219,1.0,2.0,2.0,31.0,1,4.0,4.0,0,0
5310fc38227b1907cb541f4a30ea8dfef46c2e19,2.0,34.0,3.0,155.2199999999998,1,37.0,18.5,0,0
b9cae3564ad31876d977c24a09d760e77ca992f3,1.0,127.0,124.0,25.0,0,251.0,251.0,1,0
74862dcbca052ea0a994da3f507c00e9cc18821c,1.0,6.0,0.0,51.0,0,6.0,6.0,0,0
0b9c2b5eb1b604cd76d9252e8e9628df731ea572,1.0,0.0,1.0,28.0,0,1.0,1.0,0,0
fe6c279df12294e590e87705b0ba8728a3ed54c4,1.0,1.0,2.0,18.0,0,3.0,3.0,0,0
325dfa2469f86e03187b6d9e6aee4745b702c496,3.0,40.0,16.0,24.0,0,56.0,18.666666666666668,0,0
b4cd70d054a1514adaed893663cfa22b73114d1e,3.0,47.0,0.0,15.0,0,47.0,15.666666666666666,0,0
42dd94b7565052120423dbd86a5ab0f96938f8cc,1.0,1.0,1.0,12.0,1,2.0,2.0,0,0
bcf347fe8db124242da30b97c7e570f28c273d26,15.0,601.0,352.37999999999965,66.0,0,953.3799999999997,63.558666666666646,1,0
88ea383394b47278779031b47de23fbd5ba89dbe,1.0,4.0,0.0,33.0,0,4.0,4.0,0,0
fdf4d79bdc3a5872e99b4e9c9bc0e29cfd195cb4,2.0,3.0,2.0,24.0,0,5.0,2.5,0,0
764b4e4f7dbe48366d7f01d8bd0c56f4e76b79ee,1.0,1.0,1.0,27.0,0,2.0,2.0,0,0
123a1ad019a842a07a84aace66fd7a33f6f68cb9,8.0,443.0,352.37999999999965,36.0,0,795.3799999999997,99.42249999999996,1,0
42a46ed09b745c0560de354c0cb236295000f296,1.0,4.0,4.0,20.0,1,8.0,8.0,0,0
63593d281b7358a86a808cc0bf5e47107316403d,1.0,0.0,1.0,21.0,0,1.0,1.0,0,0
ab5492418694b5cc14601a953084d61f47785ea4,1.0,2.0,2.0,18.0,1,4.0,4.0,0,0
190059c8f01c6f75243824e765d08a7cce386eda,6.0,187.0,1.0,72.0,0,188.0,31.333333333333332,1,0
bf52a17902cdbc300ee91ec1b2e8d2b7890ba35c,2.0,0.0,2.0,20.0,0,2.0,1.0,0,0
13090389365184fc2291e2cc69fb9b2af5426585,1.0,5.0,3.0,14.0,0,8.0,8.0,0,0
94cf620914615b991063f00314ea1c8da9790c99,1.0,92.0,2.0,24.0,0,94.0,94.0,0,0
100776147a063dcf53f74678b045ac0f5d6386d4,1.0,6.0,0.0,45.0,0,6.0,6.0,0,0
3491465d55f093a498f2f496cd33bebba137518c,1.0,2.0,1.0,26.0,0,3.0,3.0,0,0
0770f5c6375e3e45fa3ac918217df5d885176173,1.0,2.0,3.0,27.0,0,5.0,5.0,0,0
73a47a0db1a181bb305684115d3dacded0c5a58b,1.0,1.0,3.0,51.0,1,4.0,4.0,0,0
ce18d4575dd8468878668d777d83448eeae4fd0d,6.0,115.0,9.0,28.0,0,124.0,20.666666666666668,0,0
976e792336fa6c4696f534ac1d537d2a86a75e72,2.0,8.0,0.0,39.0,0,8.0,4.0,0,0
56675b3bade603a458d01443bda8070ca0489005,1.0,6.0,8.0,32.0,1,14.0,14.0,0,0
166f5ed254d829b2d87fca241e1a22b0a64fff1c,1.0,2.0,1.0,27.0,0,3.0,3.0,0,0
84899948be190a5e180fdccb25e6d7a8498fee7c,1.0,1.0,1.0,31.0,0,2.0,2.0,0,0
a50a87c4ca7f44821e9561ae6b69300b8809c46c,1.0,1.0,1.0,25.0,0,2.0,2.0,0,0
c64a4e0befc0718500c544f5c847d6632b8fb598,7.0,318.0,303.0,49.0,0,621.0,88.71428571428571,1,0
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,7.0,254.0,9.0,53.0,0,263.0,37.57142857142857,1,0
a99e408bd109783561d408ef34c286cdd9b51845,3.0,119.0,13.0,38.0,0,132.0,44.0,0,0
